playerID,yearID,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB
woodal02,2017,26,LAD,NL,27,58,52,1,3,0,0,0,4,0,0,2,29,0.058,0.093,0.058,0.15,-59,3,1,0,4,0,0
woodbl01,2017,31,CIN,NL,52,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
woodrbr01,2017,24,MIL,NL,7,12,10,2,2,0,0,0,0,0,0,1,2,0.2,0.273,0.2,0.473,27,2,0,0,1,0,0
woodtr01,2017,30,KCR,AL,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,0
woodtr01,2017,30,SDP,NL,11,17,17,3,4,0,0,2,6,0,0,0,7,0.235,0.235,0.588,0.824,111,10,0,0,0,0,0
workmbr01,2017,28,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worleva01,2017,29,MIA,NL,25,27,22,0,4,0,0,0,3,0,0,0,8,0.182,0.182,0.182,0.364,-1,4,1,0,5,0,0
wrighmi01,2017,27,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yacabji01,2017,25,BAL,AL,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
yateski01,2017,30,SDP,NL,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yelicch01,2017,25,MIA,NL,156,695,602,100,170,36,2,18,81,16,2,80,137,0.282,0.369,0.439,0.807,117,264,13,6,0,6,4
ynoaga01,2017,24,BAL,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
ynoami01,2017,25,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youngch03,2017,38,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youngch04,2017,33,BOS,AL,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.709,86,94,4,2,0,1,0
younger03,2017,32,LAA,AL,47,125,110,24,29,5,0,4,16,12,3,5,31,0.264,0.336,0.418,0.754,104,46,0,7,3,0,0
zagunma01,2017,24,CHC,NL,7,18,14,0,0,0,0,0,1,2,0,4,6,0,0.222,0,0.222,-34,0,0,0,0,0,0
zastrro01,2017,25,CHC,NL,4,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,75,1,0,0,0,0,0
zieglbr01,2017,37,MIA,NL,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zimmebr01,2017,24,CLE,AL,101,332,299,41,72,15,2,8,39,18,1,26,99,0.241,0.307,0.385,0.692,80,115,5,4,0,3,1
zimmejo02,2017,31,DET,AL,3,6,6,0,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,-11,1,0,0,0,0,0
zimmery01,2017,32,WSN,NL,144,576,524,90,159,33,0,36,108,1,0,44,126,0.303,0.358,0.573,0.93,135,300,16,3,0,5,1
zobribe01,2017,36,CHC,NL,128,496,435,58,101,20,3,12,50,2,2,54,71,0.232,0.318,0.375,0.693,79,163,13,2,2,3,2
zuninmi01,2017,26,SEA,AL,124,435,387,52,97,25,0,25,64,1,0,39,160,0.251,0.331,0.509,0.84,123,197,8,8,0,1,0
zychto01,2017,26,SEA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
